record_id,sku,name,department,product_type,database_product_present,admin_media_count,has_admin_cover,admin_alt_locales,theme_asset,theme_asset_width,theme_asset_height,theme_css_mapping,current_source,rights_status,quality_status,missing_admin_gallery_slots,migration_action,launch_media_ready
F01,VLS-FUR-000001,"Aurelia Modular Sofa",furniture,sofas,yes,0,no,0,custom/plugins/VeyluneTheme/src/Resources/app/storefront/src/assets/products/f01-aurelia-modular-sofa-v1.webp,1122,1402,yes,theme_css_background,unverified,below_minimum_long_edge,5,review_rights_and_source_quality_before_admin_import,no
F02,VLS-FUR-000002,"Liora Curved Sofa",furniture,sofas,yes,0,no,0,custom/plugins/VeyluneTheme/src/Resources/app/storefront/src/assets/products/f02-liora-curved-sofa-v1.webp,1122,1402,yes,theme_css_background,unverified,below_minimum_long_edge,5,review_rights_and_source_quality_before_admin_import,no
F03,VLS-FUR-000003,"Oris Leather Lounge Chair",furniture,lounge_chairs,yes,0,no,0,custom/plugins/VeyluneTheme/src/Resources/app/storefront/src/assets/products/f03-oris-leather-lounge-chair-v1.webp,1122,1402,yes,theme_css_background,unverified,below_minimum_long_edge,5,review_rights_and_source_quality_before_admin_import,no
F04,VLS-FUR-000004,"Selene Oak Lounge Chair",furniture,lounge_chairs,yes,0,no,0,custom/plugins/VeyluneTheme/src/Resources/app/storefront/src/assets/products/f04-selene-oak-lounge-chair-v1.webp,1122,1402,yes,theme_css_background,unverified,below_minimum_long_edge,5,review_rights_and_source_quality_before_admin_import,no
F05,VLS-FUR-000005,"Edda Dining Chair",furniture,dining_chairs,yes,0,no,0,custom/plugins/VeyluneTheme/src/Resources/app/storefront/src/assets/products/f05-edda-dining-chair-v1.webp,1122,1402,yes,theme_css_background,unverified,below_minimum_long_edge,5,review_rights_and_source_quality_before_admin_import,no
F06,VLS-FUR-000006,"Noma Metal Dining Chair",furniture,dining_chairs,yes,0,no,0,custom/plugins/VeyluneTheme/src/Resources/app/storefront/src/assets/products/f06-noma-metal-dining-chair-v1.webp,1122,1402,yes,theme_css_background,unverified,below_minimum_long_edge,5,review_rights_and_source_quality_before_admin_import,no
F07,VLS-FUR-000007,"Forma Desk Chair",furniture,office_chairs,yes,0,no,0,custom/plugins/VeyluneTheme/src/Resources/app/storefront/src/assets/products/f07-forma-desk-chair-v1.webp,1122,1402,yes,theme_css_background,unverified,below_minimum_long_edge,5,review_rights_and_source_quality_before_admin_import,no
F08,VLS-FUR-000008,"Talo Counter Stool",furniture,benches_stools,yes,0,no,0,custom/plugins/VeyluneTheme/src/Resources/app/storefront/src/assets/products/f08-talo-counter-stool-v1.webp,1122,1402,yes,theme_css_background,unverified,below_minimum_long_edge,5,review_rights_and_source_quality_before_admin_import,no
F09,VLS-FUR-000009,"Stillwater Oak Bench",furniture,benches_stools,yes,0,no,0,custom/plugins/VeyluneTheme/src/Resources/app/storefront/src/assets/products/f09-stillwater-oak-bench-v1.webp,1122,1402,yes,theme_css_background,unverified,below_minimum_long_edge,5,review_rights_and_source_quality_before_admin_import,no
F10,VLS-FUR-000010,"Elara Travertine Coffee Table",furniture,coffee_tables,yes,0,no,0,custom/plugins/VeyluneTheme/src/Resources/app/storefront/src/assets/products/f10-elara-travertine-coffee-table-v1.webp,1122,1402,yes,theme_css_background,unverified,below_minimum_long_edge,5,review_rights_and_source_quality_before_admin_import,no
